"","calenderWeek","year","day","month","date","cases","deaths","A00-A04_Cases","A00-A04_Deaths","A05-A14_Cases","A05-A14_Deaths","A15-A34_Cases","A15-A34_Deaths","A35-A59_Cases","A35-A59_Deaths","A60-A79_Cases","A60-A79_Deaths","A80+_Cases","A80+_Deaths","unbekannt_Cases","unbekannt_Deaths","COM_FirstDose","COM_SecondDose","COM_DoseAdditional1","COM_Received","MOD_FirstDose","MOD_SecondDose","MOD_DoseAdditional1","MOD_Received","AZ_FirstDose","AZ_SecondDose","AZ_DoseAdditional1","AZ_Received","JANSS_FirstDose","JANSS_SecondDose","JANSS_DoseAdditional1","JANSS_Received","cummulative_COM_FirstDose","cummulative_COM_SecondDose","cummulative_COM_DoseAdditional1","cummulative_COM_Received","cummulative_MOD_FirstDose","cummulative_MOD_SecondDose","cummulative_MOD_DoseAdditional1","cummulative_MOD_Received","cummulative_AZ_FirstDose","cummulative_AZ_SecondDose","cummulative_AZ_DoseAdditional1","cummulative_AZ_Received","cummulative_JANSS_FirstDose","cummulative_JANSS_SecondDose","cummulative_JANSS_DoseAdditional1","cummulative_JANSS_Received","tests_done","testing_rate","positivity_rate","number_hosp","BanOnAllEvents","BanOnAllEventsPartial","ClosDaycare","ClosDaycarePartial","ClosPrim","ClosPrimPartial","ClosPubAny","ClosPubAnyPartial","ClosSec","ClosSecPartial","ClosureOfPublicTransportPartial","EntertainmentVenues","EntertainmentVenuesPartial","GymsSportsCentres","GymsSportsCentresPartial","HotelsOtherAccommodationPartial","IndoorOver100","IndoorOver1000","IndoorOver50","IndoorOver500","MasksMandatoryAllSpacesPartial","MasksMandatoryClosedSpaces","MasksMandatoryClosedSpacesPartial","MasksVoluntaryAllSpaces","MassGather50","MassGather50Partial","MassGatherAll","MassGatherAllPartial","NonEssentialShops","NonEssentialShopsPartial","OutdoorOver100","OutdoorOver500","PlaceOfWorshipPartial","PrivateGatheringRestrictions","PrivateGatheringRestrictionsPartial","QuarantineForInternationalTravellers","QuarantineForInternationalTravellersPartial","RestaurantsCafes","RestaurantsCafesPartial","SocialCirclePartial","StayHomeGen","StayHomeGenPartial","StayHomeOrderPartial","Teleworking","TeleworkingPartial","number_sequenced","percent_cases_sequenced","AT.1_number_detections_variant","AT.1_percent_variant","AY.4.2_number_detections_variant","AY.4.2_percent_variant","B.1.1.529_number_detections_variant","B.1.1.529_percent_variant","B.1.1.7_number_detections_variant","B.1.1.7_percent_variant","B.1.1.7+E484K_number_detections_variant","B.1.1.7+E484K_percent_variant","B.1.351_number_detections_variant","B.1.351_percent_variant","B.1.427/B.1.429_number_detections_variant","B.1.427/B.1.429_percent_variant","B.1.525_number_detections_variant","B.1.525_percent_variant","B.1.526_number_detections_variant","B.1.526_percent_variant","B.1.616_number_detections_variant","B.1.616_percent_variant","B.1.617_number_detections_variant","B.1.617_percent_variant","B.1.617.1_number_detections_variant","B.1.617.1_percent_variant","B.1.617.2_number_detections_variant","B.1.617.2_percent_variant","B.1.617.3_number_detections_variant","B.1.617.3_percent_variant","B.1.620_number_detections_variant","B.1.620_percent_variant","B.1.621_number_detections_variant","B.1.621_percent_variant","B.1.640_number_detections_variant","B.1.640_percent_variant","C.1.2_number_detections_variant","C.1.2_percent_variant","C.37_number_detections_variant","C.37_percent_variant","P.1_number_detections_variant","P.1_percent_variant","P.3_number_detections_variant","P.3_percent_variant","UNK_number_detections_variant","UNK_percent_variant","Other_number_detections_variant","Other_percent_variant"
"11","53","2020","31","12",2020-12-31,19589,776,242,0,801,0,5170,0,7273,20,3397,175,2688,581,18,0,278143,927,2,1174875,0,0,0,0,0,0,0,0,0,0,0,0,302475,938,2,1326000,0,0,0,0,0,0,0,0,0,0,0,0,845729,1016.90807515521,13.5076366069982,5622,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,277,0.00242476233827623,0,0,0,0,0,0,12,0.0433212996389892,0,0,5,0.0180505415162455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.0505415162454874,246,0.888086642599278
"12","01","2021","04","01",2021-01-04,14288,772,176,1,514,0,3734,0,5388,21,2558,226,1913,524,5,0,375516,646,0,687375,0,0,0,0,0,0,0,0,0,0,0,0,677991,1584,2,2013375,0,0,0,0,0,0,0,0,0,0,0,0,1231405,1480.64650530667,11.811304972775,5723,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,514,0.00353398191756334,0,0,0,0,0,0,15,0.0291828793774319,0,0,4,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00972762645914397,495,0.963035019455253
"13","01","2021","05","01",2021-01-05,27420,1035,344,0,1009,0,7386,1,10700,23,4662,277,3310,734,9,0,375516,646,0,687375,0,0,0,0,0,0,0,0,0,0,0,0,677991,1584,2,2013375,0,0,0,0,0,0,0,0,0,0,0,0,1231405,1480.64650530667,11.811304972775,5650,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,514,0.00353398191756334,0,0,0,0,0,0,15,0.0291828793774319,0,0,4,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00972762645914397,495,0.963035019455253
"14","01","2021","06","01",2021-01-06,27974,915,332,0,1046,0,7692,2,10689,30,4798,220,3404,663,13,0,375516,646,0,687375,0,0,0,0,0,0,0,0,0,0,0,0,677991,1584,2,2013375,0,0,0,0,0,0,0,0,0,0,0,0,1231405,1480.64650530667,11.811304972775,5552,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,514,0.00353398191756334,0,0,0,0,0,0,15,0.0291828793774319,0,0,4,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00972762645914397,495,0.963035019455253
"15","01","2021","07","01",2021-01-07,26106,1030,333,0,958,0,7165,0,9577,30,4532,265,3534,735,7,0,375516,646,0,687375,0,0,0,0,0,0,0,0,0,0,0,0,677991,1584,2,2013375,0,0,0,0,0,0,0,0,0,0,0,0,1231405,1480.64650530667,11.811304972775,5474,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,514,0.00353398191756334,0,0,0,0,0,0,15,0.0291828793774319,0,0,4,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00972762645914397,495,0.963035019455253
"16","01","2021","08","01",2021-01-08,24527,926,323,0,1036,0,6678,1,8671,25,4297,228,3506,672,16,0,375516,646,0,687375,0,0,0,0,0,0,0,0,0,0,0,0,677991,1584,2,2013375,0,0,0,0,0,0,0,0,0,0,0,0,1231405,1480.64650530667,11.811304972775,5467,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,514,0.00353398191756334,0,0,0,0,0,0,15,0.0291828793774319,0,0,4,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00972762645914397,495,0.963035019455253
"17","01","2021","09","01",2021-01-09,16657,598,260,0,747,0,4662,1,5937,17,2798,135,2250,445,3,0,375516,646,0,687375,0,0,0,0,0,0,0,0,0,0,0,0,677991,1584,2,2013375,0,0,0,0,0,0,0,0,0,0,0,0,1231405,1480.64650530667,11.811304972775,5398,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,514,0.00353398191756334,0,0,0,0,0,0,15,0.0291828793774319,0,0,4,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00972762645914397,495,0.963035019455253
"18","01","2021","10","01",2021-01-10,8466,423,132,0,413,0,2327,0,2954,7,1417,106,1219,310,4,0,375516,646,0,687375,0,0,0,0,0,0,0,0,0,0,0,0,677991,1584,2,2013375,0,0,0,0,0,0,0,0,0,0,0,0,1231405,1480.64650530667,11.811304972775,5300,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,514,0.00353398191756334,0,0,0,0,0,0,15,0.0291828793774319,0,0,4,0.00778210116731518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00972762645914397,495,0.963035019455253
"19","02","2021","11","01",2021-01-11,13479,586,178,0,531,0,3666,1,4835,24,2336,159,1915,402,18,0,507004,19654,0,0,14585,21,0,63600,0,0,0,0,0,0,0,0,1184995,21238,2,2013375,14585,21,0,63600,0,0,0,0,0,0,0,0,1187564,1427.93190414852,10.0104078601238,5267,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1050,0.00883243606998654,0,0,0,0,0,0,150,0.142857142857143,0,0,22,0.020952380952381,1,0.000952380952380952,0,0,0,0,0,0,0,0,0,0,1,0.000952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00476190476190476,933,0.888571428571429
"20","02","2021","12","01",2021-01-12,22581,893,303,0,837,0,5934,1,8716,21,3749,244,3036,627,6,0,507004,19654,0,0,14585,21,0,63600,0,0,0,0,0,0,0,0,1184995,21238,2,2013375,14585,21,0,63600,0,0,0,0,0,0,0,0,1187564,1427.93190414852,10.0104078601238,5209,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,1050,0.00883243606998654,0,0,0,0,0,0,150,0.142857142857143,0,0,22,0.020952380952381,1,0.000952380952380952,0,0,0,0,0,0,0,0,0,0,1,0.000952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.00476190476190476,933,0.888571428571429
